# start	dest	slug
# One row per top-level block of docs/dead-ends.md (entry bullet, bold meta
# block, or section header). A block runs from its start line to the line
# before the next row's start (last block runs to EOF). split.py validates
# every start is a real block start and that reassembly is byte-identical.
1	00-registry-contract.md	doc-title-and-contract
133	terminology-dust.md	dust-terminology
204	calibration-flats.md	gain-flat-header-and-constraints
229	calibration-flats.md	sky-flat-altaz-gradient
370	calibration-flats.md	object-tilt-differential-photometry
568	calibration-flats.md	desky-regression
634	calibration-flats.md	iterative-sky-flat-noop
678	siril-behaviors.md	offset-clips-stat-excludes
745	siril-behaviors.md	seqsubsky-negative-refusal
758	calibration-flats.md	subsky-lights-corner-term
790	calibration-flats.md	flat-window-within-burst
832	calibration-flats.md	per-group-flats
887	calibration-flats.md	four-corner-box-metric
919	stacking-compose.md	framing-min-time-span
938	evidence-provenance.md	fits-md5-byte-order
961	calibration-flats.md	master-16bit-quantization
976	background-extraction.md	background-header-degree2-starlight
1006	background-extraction.md	image-side-test
1021	background-extraction.md	visible-rings-provenance
1039	background-extraction.md	vendor-doctrine-degree1
1054	background-extraction.md	graxpert-smoothing
1059	background-extraction.md	graxpert-division
1074	background-extraction.md	crop-before-background
1100	siril-behaviors.md	stat-silence-mispairs
1109	stretch-colour-judgment.md	stretch-header-star-layer-leverage
1142	stretch-colour-judgment.md	star-asinh-hierarchy
1166	stretch-colour-judgment.md	unlinked-autostretch
1170	stretch-colour-judgment.md	spcc-narrowband
1176	stretch-colour-judgment.md	rmgreen-magenta
1177	stretch-colour-judgment.md	chroma-tool-gap
1183	separation-deconv-psf.md	separation-header-mask-inpaint
1192	separation-deconv-psf.md	bright-star-residual-per-data
1195	intake-frame-qa.md	detsolvereg-header-cfa-debayer
1199	plate-solving-wcs.md	internal-solver-trailed-frames
1218	plate-solving-wcs.md	shape-blind-xylist
1233	siril-behaviors.md	spcc-sigsegv-database
1245	plate-solving-wcs.md	union-canvas-crpix-shift
1269	intake-frame-qa.md	drift-window-contiguous-run
1289	lunar-planetary.md	planetary-selection-track
1312	lunar-planetary.md	planetary-no-quality
1323	lunar-planetary.md	gui-selection-state
1333	lunar-planetary.md	dft-aliasing
1351	registration-distortion.md	edge-smear-distortion
1371	registration-distortion.md	sip-not-lens-model
1396	stacking-compose.md	substack-compose-mosaic
1521	registration-distortion.md	aug06-edge-deficit-dead
1542	registration-distortion.md	in-exposure-floor
1558	registration-distortion.md	community-profile-band
1578	registration-distortion.md	dtstyle-enabled-bit
1600	registration-distortion.md	icc-roundtrip
1625	registration-distortion.md	registration-comparison-traps
1644	stacking-compose.md	transient-rejection-audit
1663	intake-frame-qa.md	cloud-cull-majority
1668	stacking-compose.md	wfwhm-weight-ramp
1678	stacking-compose.md	walking-noise
1687	stacking-compose.md	precropped-compose-reference
1770	stacking-compose.md	sigma-reject-across-composes
1782	stacking-compose.md	drizzle-sampling
1791	separation-deconv-psf.md	classical-deconvolution
1794	separation-deconv-psf.md	psf-homogenisation-refused
1827	evidence-provenance.md	record-schema-generations
1850	siril-behaviors.md	toolstate-header-stat-nan
1869	siril-behaviors.md	interp-none-homography
1884	siril-behaviors.md	zero-weight-fallback
1908	siril-behaviors.md	idiv-clips
1940	siril-behaviors.md	fits-extension-preference
1952	siril-behaviors.md	plural-calibration-dirs
1959	measurement-discipline.md	qascope-header-shared-grid-crop
1976	measurement-discipline.md	twopass-reference-null
1997	verification-traps.md	frozen-half-check
2008	verification-traps.md	pgrep-self-match
2039	evidence-provenance.md	artifact-over-transcription
2105	verification-traps.md	truncated-view-negative
2156	verification-traps.md	plausible-null-instruments
2196	verification-traps.md	capability-vs-symbol-search
2221	verification-traps.md	shell-function-shadow
2358	verification-traps.md	zsh-pathspec-mangling
2435	verification-traps.md	gitlog-no-time
2486	evidence-provenance.md	live-tree-numbers
2538	evidence-provenance.md	session-range-not-quantity
2585	evidence-provenance.md	claim-survives-other-sites
2636	evidence-provenance.md	proximity-not-protection
